province,city,theaterId,theaterName,screens,seats,screenFilm,screen2D,screen3D,screen4D,screenImax,isSpecialScreen,theaterAddr,theaterPhone,theaterUrl,latitude,longitude
광주시,서구,016027,CGV 광주터미널,13,"3,166",1,15,4,1,1,TRUE,광주광역시 서구 광천동 49-1 번지 유스퀘어 2-6층,1544-1122,http://www.cgv.co.kr/,35.1607810,126.8815307
부산시,해운대구,011051,영화의 전당,6,"4,560",5,6,2,0,0,TRUE,부산광역시 해운대구 우동 1467 번지,051-780-6050,http://www.dureraum.org/,35.1711778,129.1271956
인천시,부평구,015023,롯데시네마 부평,9,"1,523",0,9,4,0,0,TRUE,인천광역시 부평구 부평동 152-1 번지,1544-8855,http://www.lottecinema.co.kr/,37.4935895,126.7265516
서울시,서대문구,001148,아트하우스모모,2,276,2,2,1,0,0,TRUE,서울특별시 서대문구 대현동 11-1 번지 이화여자대학교 이화캠퍼스콤플렉스(지하4층),02-747-7782,http://www.arthousemomo.com/,37.5613469,126.9470584
대전시,중구,013012,CGV 대전,9,"1,880",1,9,7,1,1,TRUE,대전광역시 중구 문화동 1-16 번지 세이백화점 별관 6층,1544-1122,http://www.cgv.co.kr/,36.3209817,127.4089694
경상북도,안동시,006019,안동중앙시네마,1,144,0,1,0,0,0,FALSE,경상북도 안동시 삼산동 140-5 번지 3층,054-854-5500,http://,36.5651365,128.7307581
경기도,파주시,002219,헤이리시네마,1,30,0,1,0,0,0,FALSE,경기도 파주시 탄현면 1652-26 번지,031-942-1031,www.hcine.kr,37.7914952,126.6990430
서울시,종로구,001237,에무 시네마 앤 카페,2,102,0,2,0,0,0,FALSE,서울특별시 종로구 신문로2가 1-181 번지 복합문화공간에무,02-730-5604,http://emuartspace.com/,37.5720343,126.9689848
서울시,노원구,001240,더숲 아트시네마,2,82,0,2,0,0,0,FALSE,서울특별시 노원구 상계동 727-1 번지 조광빌딩 지하 1층,02-951-0206,,37.6641960,127.0662583
경상북도,포항시,006071,인디플러스 포항,1,262,0,1,0,0,0,FALSE,경상북도 포항시 북구 덕산동 113-12 번지 포항시립중앙아트홀 2층,054-289-7921,,36.0409313,129.3672296
전라북도,전주시,008042,전주디지털독립영화관,1,98,1,1,0,0,0,FALSE,전라북도 전주시 완산구 고사동 429-5 번지 전주영화제작소 4층,063-231-3377,http://jeonjucinecomplex.kr,35.8183495,127.1425492
서울시,종로구,001083,씨네큐브광화문(서울),2,365,2,2,0,0,0,FALSE,서울특별시 종로구 신문로1가 226 번지 흥국생명빌딩 지하 2층,02-2002-7770,http://www.icinecube.com/,37.5697279,126.9722881
서울시,동작구,001197,아트나인,2,150,0,2,1,0,0,TRUE,서울특별시 동작구 사당동 147-53 번지 골든시네마 12층,070-7017-4526,http://www.megabox.co.kr/,37.5861963,126.9814865
광주시,동구,016044,광주독립영화관,1,105,0,1,0,0,0,FALSE,광주광역시 동구 서석동 47-1 번지 서석동,062-222-1895,,35.1468989,126.9223040
경상남도,창원시 마산합포구,007072,씨네아트 리좀,1,51,0,1,0,0,0,FALSE,경상남도 창원시 마산합포구 동성동 268 번지,070-8802-6438,cafe.naver.com/cineart,35.2059248,128.5758217
대구시,중구,012047,대구독립영화전용관 오오극장,1,55,0,1,0,0,0,FALSE,대구광역시 중구 수동 1-6 번지 1층,053-425-3553,,35.8706599,128.5894435
